SchoolName,m15_over,m15_nati,m15_asi,m15_bla,m15_lati,m15_whi,m15_paci,m15_mult
Angelo Giaudrone,-46.8,-39.4,,-57.9,-42.4,-33,-38.7,-9.7
Arlington,-42.3,,-26.1,-27.1,-29.3,,-58.6,-42.6
Baker,-60.2,-55.9,-26,-64.6,-66.7,-47.3,,
Birney,-51.1,,-7.9,-36.9,,,-66.6,-3.2
Blix Elementary,-63,,-19.6,-49,-69.6,-43.5,-29.9,
Boze,-45.1,-24.5,,-40.2,-45.3,,-20,
Browns Point,-17.4,0,0,-3.3,0,-15.4,-33.3,
Bryant,-36.4,-75,-23,,-17.6,-24.9,,-20.9
Crescent Heights,-27.8,0,0,-15,,-25.3,0,0
Day Reporting School,,,,,,,,
Delong,-43.3,-50,-0.4,,-49.3,-31.1,-50,
Downing,-9.1,0,0,-8.4,0,,,0
Edison,-55.5,,0,-59.5,-53.5,-43.4,-22.2,-50.6
Fawcett,-35.9,-2.4,-2.1,-17.6,-32,-25.2,-19.6,-42.8
Fern Hill,-33.5,,-11.2,-0.5,-40.2,-12.3,-62.5,-22.2
First Creek,-63.9,-9.9,-36.8,-65,-68.3,-50,,-50.6
Foss,,,,,,,,
Franklin,-42,,0,-34.5,-24.2,,,-20.9
Fresh Start,-75,,,,0,,,
Geiger,-45.6,,-4.5,-40,-34.5,-30.4,,-54.6
Goodwill GED,,,,,,,,
Grant,-44,,0,-35.3,-11.9,-39.8,-66.6,
Gray,-61.1,-75,-15.3,-63.7,-60.7,-50.7,,-10.5
Helen Stafford,-29.9,,-10,-30.3,-28.7,-0.3,-21.4,-2
Jason Lee,-61.9,-77.7,-30.5,-76.8,-50.3,-40.3,,-76.7
Jefferson,-32.5,,0,,-8.1,-26,,0
Larchmont,-54.4,-33.3,-26,,-46.1,-34.9,,0
Lincoln,,,-74.7,,,,-75,
Lister,-57.6,,-29.3,,,,-74.8,-75
Lowell,-10.5,-50,0,-15.8,0,,-50,0
Lyon,-57.8,0,-25.8,-86.5,-42.6,-37.1,-66.6,
Manitou Park,-61,-66.6,0,-76.8,-58.1,-39.9,-37.9,-46.1
Mann,-53.5,-75,-13.2,-54.4,,-43.5,-42.8,-44.2
Mason,-36.7,-25,,-53.3,-37.7,-29.4,0,-15.3
McCarver,-61.2,,-45.4,-65.4,-46.1,,,-70.9
Meeker,-44.8,-60,-12.3,-55.6,,-38.7,-16.3,-34.2
Mt Tahoma,,,-78.5,-88.3,,,-76.8,
Northeast Tacoma,-27.7,-39.6,0,-23.9,-22.7,-7.4,,-0.8
Oakland High School,,,,-75,,,,
Pearl Street Center,,,,,,,,
Point Defiance,-22.4,0,0,-5.9,-11.4,-20.7,-33.3,
Re-engagement Center,,,,,,,,
Reed,-48.9,,-13.2,,-38.3,,-50,-21.2
Roosevelt,-62.9,,0,-63,,,-71.4,
Science and Math Institute,-44.8,,-19.5,-41.4,-47.8,-37.6,,0
Sheridan,-43.1,,,-35.5,-40.7,,-71.4,-12.2
Sherman,-23.6,-66.6,0,-33,-9,-17.1,,0
Skyline,-30.2,,-18.2,-39.4,-13.8,-18.5,,-6.3
Special Services,,,,,,,,
Stadium,,,-79.8,,,-90.7,,
Stanley,-37.5,,-33.3,-40.3,-7.3,,-50,-40
Stewart,-55.3,-36.4,,-59.5,-61.3,-39.2,-24.7,-75
Tacoma School of the Arts,-63.2,,0,-54.7,-39.3,-60.8,,
Truman,-45.7,-50,,-56,,-39.4,-30,-12.2
Washington-Hoyt,-17.4,,-0.9,-77.9,-20.8,-9.7,,-25
Whitman,-50.9,,,-51,,-28.1,-43,
Wainwright/Whittier,-31.9,,-0.6,-34.7,-19.6,-18.4,-50,-22.1
Wilson,-83.6,,-57.1,,-75.5,-80.1,,-73
Taholah Elementary & Middle School,,,,,-77.6,,,-90
Taholah High School,,,,,,,,
Cedar River Middle School,-28.6,-60,,-25.1,-33,-25.9,0,-13.8
Glacier Park Elementary,-12.8,0,0,0,,-11.1,0,-1.1
Lake Wilderness Elementary,-27.1,0,-30.2,-56.8,,-22.6,0,
Rock Creek Elementary,-21.2,,-0.6,-27.4,,-18.4,0,-6.7
Russell Ridge Center,,,,,,-41.8,,
Shadow Lake Elementary,-24.7,,0,-41.9,-33.6,-18,0,-4.7
Tahoma Jr High,-32.5,0,-5.9,-13.9,-41.8,-30.2,0,-17.4
Tahoma Middle School,,,-8.9,0,,,0,
Tahoma Senior High School,-79.4,,-58.2,-75,-86.9,-76.3,-38.3,-82.7
