,0
0,58.55559150543426
1,51.95763499264635
2,51.19953607066732
3,56.48710493527858
4,56.10542664815539
5,52.11234400937084
6,54.39375921065068
7,55.049694164942416
8,55.013829436189226
9,59.71894321853669
10,59.71784810382525
11,52.801743445575205
12,54.59990423965938
13,52.98083228450791
14,58.84480231589851
15,60.49655594984409
16,63.21136833707369
17,64.91617806030035
18,66.12685101909068
19,67.75208304491021
20,61.80981747344044
21,67.27881462265366
22,57.964696169268954
23,53.754879018991055
24,50.313115485261974
25,63.27798528058832
26,62.503456425666414
27,59.04431704880045
28,68.70611264238724
29,55.12212818208665
30,61.99195022869782
31,64.15564036424666
32,65.63879332789921
33,58.17033606067873
34,59.70987267089726
