id,Y14_inc
530602001,64324
530603001,66484
530603002,67292
530603003,64554
530604001,128750
530604002,103750
530604003,89659
530604004,97227
530604005,64866
530605001,148500
530605002,123438
530605003,75417
530605004,90469
530605005,108542
530606001,102308
530606002,75088
530606003,40037
530606004,98277
530606005,93387
530606006,44688
530607001,80521
530607002,71607
530607003,56447
530607004,55962
530607005,61462
530607006,50000
530608001,77961
530608002,61425
530608003,87500
530608004,48672
530608005,102344
530608006,64250
530608007,77917
530609031,66438
530609032,41184
530609033,91625
530609041,52206
530609042,44120
530609043,73125
530609044,35679
530609051,23997
530609052,50691
530609053,59186
530609054,75313
530609055,110625
530609061,65000
530609062,58125
530610011,32083
530610012,74091
530610013,100958
530610021,37024
530610022,102708
530610023,30476
530610024,54706
530611001,71618
530611002,45000
530611003,51845
530611004,27222
530611005,71625
530611006,72639
530611007,54940
530612001,56719
530612002,73594
530612003,85820
530612004,52500
530612005,60063
530612006,53618
530613001,24688
530613002,40192
530613003,36806
530613004,44091
530613005,41172
530613006,57250
530614001,13772
530614002,18984
530614003,21792
530615001,43648
530615002,30313
530615003,27111
530615004,54167
530616011,18816
530616021,55288
530617001,41000
530617002,52935
530617003,50648
530617004,46484
530617005,47066
530618001,21930
530618002,38563
530618003,39250
530619001,28030
530619002,48250
530620001,35833
530620002,45208
530620003,46587
530620004,46910
530623001,49286
530623002,35147
530623003,56307
530623004,37679
530624001,46480
530624002,34904
530624003,85037
530624004,53619
530624005,34444
530625001,49677
530625002,49878
530625003,28750
530625004,38491
530625005,60452
530625006,72917
530625007,52371
530626001,27917
530626002,41827
530628011,27188
530628012,44268
530628013,37188
530628014,32094
530628021,69208
530628022,57898
530628023,59135
530629001,45156
530629002,32284
530629003,58854
530629004,59102
530629005,51116
530629006,56898
530630001,50484
530630002,52906
530631001,45583
530631002,40321
530631003,70817
530631004,60556
530632001,56528
530632002,50750
530632003,46875
530632004,51343
530632005,50833
530633001,48854
530633002,52544
530633003,40110
530633004,35268
530633005,45859
530634001,36250
530634002,67232
530634003,37566
530634004,37019
530634005,22436
530634006,64167
530635011,56667
530635012,45536
530635013,57763
530635014,39057
530635021,36116
530635022,53333
530635023,55022
530701001,57411
530701002,-
530701003,80913
530701004,78036
530702031,98993
530702032,80768
530702033,64267
530702041,42443
530702042,73284
530702051,65458
530702052,83185
530702061,79344
530702062,66111
530702063,83036
530702071,58490
530702072,77917
530702073,69107
530702074,48981
530703071,106875
530703072,117500
530703073,114179
530703081,83065
530703082,76382
530703091,90488
530703092,80769
530703093,39539
530703101,84946
530703102,64104
530703103,82386
530703104,53021
530703111,80625
530703112,75521
530703113,71792
530703121,111563
530703122,96625
530703123,83393
530703131,107101
530703132,72115
530703133,78269
530703134,42417
530703135,92153
530703141,98563
530703142,76042
530703151,96250
530703152,88889
530703153,97386
530703154,86602
530703161,53038
530703162,72865
530704011,69821
530704012,45469
530704031,77206
530704032,33047
530704033,72292
530704041,74781
530704042,86083
530707031,61406
530707032,57604
530707033,72063
530707034,70880
530707035,59226
530711001,41000
530711002,62596
530712051,71167
530712052,81386
530712061,77621
530712062,69583
530712063,48160
530712064,92599
530712071,78352
530712072,62847
530712073,27361
530712081,48654
530712082,41029
530712083,66886
530712091,94559
530712092,70500
530712093,114722
530712101,48625
530712102,123571
530712103,92331
530713041,45685
530713042,79217
530713043,30670
530713051,53816
530713052,75341
530713061,64554
530713062,94716
530713063,64203
530713064,76023
530713071,72202
530713072,45469
530713073,60559
530713091,54028
530713092,61319
530713093,76169
530713101,71034
530713102,94527
530714031,68611
530714032,52656
530714033,51607
530714061,78287
530714062,70045
530714063,63672
530714064,82321
530714071,76591
530714072,66184
530714073,85076
530714074,53902
530714081,68194
530714082,36597
530714083,49306
530714091,47736
530714092,58426
530714093,60500
530714094,52550
530714101,57321
530714102,33244
530714103,72886
530714104,57138
530714111,67380
530714112,43387
530714113,66658
530715031,49635
530715032,41827
530715033,34236
530715034,55195
530715041,34620
530715042,37875
530715043,41140
530715044,47722
530715051,65169
530715052,54432
530715053,73864
530715054,31324
530715061,68571
530715062,69519
530715063,74955
530716011,33142
530716012,48324
530716021,52313
530716022,40308
530716023,55335
530716024,34971
530717031,26935
530717032,38929
530717041,31700
530717042,30030
530717043,33190
530717051,36488
530717052,47286
530717053,61964
530717061,40820
530717071,39243
530717072,57981
530717073,39722
530718031,51226
530718032,44788
530718033,29003
530718034,45215
530718051,26111
530718052,36806
530718053,28311
530718061,20152
530718062,27384
530718071,42321
530718072,40583
530718081,29844
530718082,41380
530718083,27774
530719011,34736
530719012,49082
530719013,27589
530719014,86417
530719021,56087
530719022,75809
530719023,91759
530719024,148864
530719025,108854
530720001,23882
530720002,26347
530720003,33864
530720004,16250
530721051,96691
530721052,76688
530721053,-
530721054,68872
530721061,52604
530721062,78185
530721063,27331
530721064,44740
530721071,53188
530721072,100729
530721073,71607
530721074,63882
530721081,64336
530721082,56083
530721083,59688
530721084,37184
530721085,64118
530721091,91324
530721092,50696
530721111,58750
530721112,56324
530721121,67917
530721122,58710
530721123,42679
530723051,34663
530723052,84015
530723053,76087
530723054,75197
530723055,45789
530723056,58603
530723071,32500
530723072,129211
530723073,67778
530723074,60926
530723081,53750
530723082,84896
530723083,84643
530723084,63092
530723085,85153
530723091,93724
530723092,70827
530723093,40030
530723094,69118
530723101,63636
530723102,67375
530723103,59604
530723111,42961
530723112,26106
530723113,70000
530723121,93750
530723122,34079
530723123,30843
530723131,71915
530723132,56369
530724051,100298
530724052,93676
530724061,92550
530724062,72153
530724063,96583
530724071,50026
530724072,57868
530724073,89231
530724081,76544
530724082,75655
530724083,107708
530724084,89559
530724091,110741
530724092,91250
530724101,82121
530724102,108155
530725031,72054
530725032,77176
530725041,83317
530725042,90882
530725051,62903
530725052,89038
530725053,85481
530725054,108785
530725061,66375
530725062,88261
530725071,105938
530725072,60536
530726011,68445
530726012,45833
530726013,54750
530726021,69479
530726022,51908
530726023,55700
530726031,56809
530726032,53900
530726033,45694
530726034,42353
530726035,-
530728001,83403
530728002,74850
530729011,45833
530729031,65443
530729051,41069
530729052,42925
530729053,40750
530729061,-
530729062,135577
530729071,54750
530729072,52677
530729073,-
530730011,81033
530730012,122969
530730013,87042
530730014,62750
530730015,51203
530730051,65266
530730052,40781
530730053,31932
530730054,57500
530730061,68750
530730062,73500
530731081,48993
530731082,72662
530731083,90322
530731101,81950
530731102,99493
530731111,56682
530731112,95847
530731113,74375
530731131,67188
530731132,78750
530731133,71202
530731141,63990
530731142,47279
530731143,65231
530731151,81845
530731152,70947
530731153,50982
530731161,69219
530731162,62656
530731171,55806
530731172,54234
530731181,70969
530731182,80583
530731191,73808
530731192,87679
530731201,59741
530731202,49219
530731211,66921
530731212,94531
530731221,75750
530731222,78177
530731231,98182
530731232,66583
530731241,43854
530731242,68950
530731251,62188
530731252,75179
530731253,61713
530731261,79861
530732001,63500
530732002,47019
530732003,65300
530732004,38917
530733011,68500
530733012,37151
530733013,74917
530733014,38750
530733021,66935
530733022,63417
530733023,54300
530734041,45545
530734042,65417
530734043,69559
530734044,63942
530734045,84844
530734051,65536
530734052,58003
530734061,79693
530734062,71719
530734063,52135
530734071,40653
530734072,58947
530734073,70515
530734081,65000
530734082,68750
530734083,47695
530735001,75208
530735002,80025
530735003,80127
530735004,106143
530735005,49365
530735006,80074
539400011,102794
539400012,89167
539400021,66591
539400022,47500
539400023,54688
539400031,83143
539400032,53958
539400033,41250
539400041,63542
539400042,76898
539400043,39167
539400044,55000
539400045,67197
539400046,62448
539400051,77150
539400052,82337
539400053,68750
539400061,21221
539400062,12063
539400071,33482
539400072,57237
539400073,38063
539400081,67455
539400082,77596
539400083,78472
539400091,67813
539400092,99792
539400101,51014
539400102,46750
539400103,51875
539400111,105556
539400112,137014
539400113,73750
